Name,Private,PercentAccept,Enroll,Top10perc,Top25perc,FtimeRatio,Outstate,Room.Board,PhD,S.F.Ratio,Expend,Grad.Rate
Loyola Marymount University,Yes,0.71,753,42,64,0.89,13592,5916,84,14.2,11677,84
Loyola University,Yes,0.9,719,24,80,0.78,11100,5870,77,11.7,9456,53
Loyola University Chicago,Yes,0.83,868,25,55,0.61,11500,5330,94,6.2,13009,65
Luther College,Yes,0.9,587,38,72,0.96,13240,3560,73,13.8,8949,77
Lycoming College,Yes,0.78,363,16,37,0.95,13900,4300,75,14,8024,72
Lynchburg College,Yes,0.85,366,3,21,0.84,12450,5400,62,12.4,8832,70
Lyndon State College,No,0.94,223,6,20,0.86,7320,4640,48,12.6,7114,51
Macalester College,Yes,0.51,452,56,86,0.94,15909,4772,85,11.9,14213,77
MacMurray College,Yes,0.75,177,12,29,0.91,9620,3750,49,10.8,10642,59
Malone College,Yes,0.87,428,21,46,0.87,9858,3700,42,17.6,4796,55
Manchester College,Yes,0.8,239,23,63,0.95,10440,3850,63,11.8,7940,64
Manhattan College,Yes,0.71,563,20,63,0.91,12370,6800,92,13.6,10062,79
Manhattanville College,Yes,0.78,212,21,54,0.85,14700,6550,97,11.3,11291,70
Mankato State University,No,0.87,1547,9,29,0.84,4300,2643,57,19,5801,68
Marian College of Fond du Lac,Yes,0.81,337,15,41,0.64,9400,3400,37,8.4,5352,59
Marietta College,Yes,0.6,342,27,60,0.84,13850,3920,80,13.2,10223,96
Marist College,Yes,0.67,830,12,31,0.84,10700,5925,74,17.6,8408,69
Marquette University,Yes,0.89,1685,36,71,0.9,11610,4760,86,13.5,9982,77
Marshall University,Yes,0.87,2007,14,60,0.77,5094,4010,77,16.6,6203,50
Mary Baldwin College,Yes,0.88,199,26,52,0.69,11200,7400,66,6.8,10819,90
Mary Washington College,No,0.5,756,39,78,0.8,6490,4942,75,17.6,5358,84
Marymount College Tarrytown,Yes,0.68,117,9,34,0.66,11510,6450,71,10.3,10502,77
Marymount Manhattan College,Yes,0.77,239,21,30,0.56,10200,7000,63,11.7,10622,68
Marymount University,Yes,0.82,214,10,30,0.62,11390,5280,77,10.6,8575,55
Maryville College,Yes,0.61,176,26,52,0.83,11200,4208,80,11.1,8317,51
Maryville University,Yes,0.72,169,26,51,0.43,9250,4550,52,13.1,5925,61
Marywood College,Yes,0.78,323,13,51,0.78,11040,4500,65,11.8,9034,66
Massachusetts Institute of Technology,Yes,0.33,1078,96,99,0.99,20100,5975,99,10.1,33541,94
Mayville State University,No,1,153,5,12,0.92,4486,2516,68,15.7,6971,51
McKendree College,Yes,0.55,119,16,43,0.55,7680,3740,70,17.7,6652,52
McMurry University,Yes,0.71,187,25,50,0.65,6930,3452,57,11,6383,32
McPherson College,Yes,0.7,93,11,32,0.81,7950,3750,54,9.8,9754,48
Mercer University,Yes,0.73,564,37,70,0.7,11985,4081,93,9.2,8995,91
Mercyhurst College,Yes,0.69,397,15,40,0.81,9813,4050,45,16.7,7307,78
Meredith College,Yes,0.9,376,25,58,0.79,6720,3250,77,13.9,6881,82
Merrimack College,Yes,0.78,514,18,36,0.64,12500,6200,73,16.8,8707,80
Mesa State College,No,0.92,891,6,18,0.79,5016,3798,48,28.8,3871,59
Messiah College,Yes,0.79,607,30,64,0.98,10300,5080,68,14.1,7762,89
Miami University at Oxford,No,0.84,3290,35,39,0.94,8856,3960,81,17.6,7846,85
Michigan State University,No,0.83,6180,23,57,0.87,10658,3734,93,14,10520,71
Michigan Technological University,No,0.87,1032,42,77,0.93,8127,3978,82,17,7473,65
MidAmerica Nazarene College,Yes,1,225,15,36,0.87,6840,3720,33,15.4,5524,49
Millersville University of Penn.,No,0.51,960,22,60,0.77,7844,3830,72,16.8,7832,71
Milligan College,Yes,0.76,189,26,52,0.93,8200,3300,63,12,8128,64
Millikin University,Yes,0.87,456,29,62,0.95,11910,4378,60,11.4,8149,75
Millsaps College,Yes,0.92,319,32,61,0.86,11320,4402,82,12.7,11218,58
Milwaukee School of Engineering,Yes,0.89,496,36,69,0.67,11505,3255,35,16.7,7140,67
Mississippi College,Yes,0.65,307,36,57,0.7,5580,2830,77,16.5,6170,61
Mississippi State University,No,0.77,1609,18,57,0.86,9866,3084,77,15.9,6223,53
Mississippi University for Women,No,0.84,380,19,46,0.62,4386,2217,49,15.8,5704,63
Missouri Southern State College,No,0.84,913,13,50,0.63,3840,2852,52,20.3,4172,100
Missouri Valley College,Yes,0.75,316,5,35,0.86,8550,5050,35,17.4,4333,27
Monmouth College IL,Yes,0.84,204,28,57,0.98,13000,4100,91,11.6,11087,56
Monmouth College,Yes,0.69,478,14,34,0.69,12480,5290,70,14.2,9492,54
Montana College of Mineral Sci. & Tech.,No,0.95,320,45,72,0.78,6073,3400,71,16.4,6112,74
Montana State University,No,0.81,1779,15,42,0.9,5552,3710,75,17.6,6324,37
Montclair State University,No,0.41,865,19,53,0.67,3648,4834,82,21.5,6717,58
Montreat-Anderson College,Yes,0.85,103,10,24,0.94,8438,3372,42,11.1,11989,15
Moorhead State University,No,0.89,1189,12,37,0.85,4426,2664,76,18.1,4795,60
Moravian College,Yes,0.78,303,23,58,0.72,14990,4730,86,15.2,9566,74
Morehouse College,Yes,0.45,722,41,66,0.95,7050,5490,71,17.8,8122,83
Morningside College,Yes,0.91,239,16,36,0.81,10520,3678,48,13,8111,56
Morris College,Yes,0.83,330,2,13,0.99,4515,2550,53,18.6,6990,60
Mount Holyoke College,Yes,0.73,526,47,79,0.98,19300,5700,79,9,18359,84
Mount Marty College,Yes,0.99,126,17,37,0.58,6844,2980,45,11.7,5073,44
Mount Mary College,Yes,0.92,121,12,32,0.66,8950,3119,51,10.7,7016,78
Mount Mercy College,Yes,0.86,159,20,49,0.6,10500,3555,44,11.3,6695,64
Mount Saint Clare College,Yes,0.87,95,16,33,0.81,9900,3650,32,13.6,6525,21
Mount Saint Mary's College,Yes,0.88,328,15,36,0.94,12850,6200,77,12.8,8536,80
Mount Saint Mary College,Yes,0.59,238,14,48,0.73,7470,4600,74,15.3,6898,88
Mount St. Mary's College,Yes,0.82,113,37,90,0.69,12474,5678,53,11.9,10613,72
Mount Union College,Yes,0.83,458,26,61,0.9,12250,3530,85,16.7,7215,81
Mount Vernon Nazarene College,Yes,0.95,334,18,36,0.92,7400,3346,57,19.8,6869,58
Muhlenberg College,Yes,0.73,462,30,61,0.82,16975,4565,76,12.8,10888,83
Murray State University,No,0.86,1190,29,55,0.86,4738,3110,72,20.2,5972,52
Muskingum College,Yes,0.83,375,24,46,0.94,13240,3914,73,13.4,9333,73
National-Louis University,Yes,0.68,279,23,48,0.83,9090,4500,62,18.3,7905,71
Nazareth College of Rochester,Yes,0.84,266,36,68,0.73,10850,5150,77,13.6,8797,61
New Jersey Institute of Technology,No,0.65,483,27,62,0.67,8832,5376,92,13.5,12529,72
New Mexico Institute of Mining and Tech.,No,0.76,233,40,73,0.71,5376,3214,99,13.7,9241,34
New York University,Yes,0.53,2505,70,86,0.82,17748,7262,87,7.8,21227,71
Newberry College,Yes,0.83,154,14,36,0.94,10194,2600,57,11.4,5788,83
Niagara University,Yes,0.81,467,65,99,0.85,10320,4762,68,14.2,7788,65
North Adams State College,No,0.64,240,1,19,0.91,5542,4330,65,14.2,6562,57
North Carolina A. & T. State University,No,0.64,1429,12,33,0.88,6806,1780,72,16.7,7090,44
North Carolina State University at Raleigh,No,0.66,3176,39,78,0.75,8400,6540,92,17.5,9670,62
North Carolina Wesleyan College,Yes,0.85,195,7,24,0.88,8242,4230,77,12.7,10090,52
North Central College,Yes,0.78,308,30,64,0.63,11718,7398,73,16.4,8871,76
North Dakota State University,No,0.77,1610,13,47,0.87,5834,2744,79,17,6310,42
North Park College,Yes,0.78,176,19,39,0.85,12580,4345,76,13.1,10889,74
Northeast Missouri State University,No,0.76,1620,36,72,0.95,4856,3416,69,15.7,6601,76
Northeastern University,Yes,0.71,2517,16,42,0.52,13380,7425,73,12.9,9563,46
Northern Arizona University,No,0.84,1973,23,48,0.81,6746,3728,78,21.7,6157,41
Northern Illinois University,No,0.67,2397,12,37,0.88,7799,3296,73,17.3,6086,56
Northwest Missouri State University,No,0.93,1257,8,29,0.91,3735,3136,62,21.7,5284,54
Northwest Nazarene College,Yes,0.83,385,29,52,0.95,9840,2820,59,14.8,6261,58
Northwestern College,Yes,0.94,366,22,56,0.95,9900,3075,68,14.9,6357,68
Northwestern University,Yes,0.42,1902,85,98,0.99,16404,5520,96,6.8,26385,92
Norwich University,Yes,0.93,626,8,29,0.83,14134,5270,71,13.1,9209,63
Notre Dame College,Yes,0.85,107,15,37,0.62,9990,4900,44,12.1,4948,33
Oakland University,No,0.85,1173,16,56,0.62,9114,4030,88,19.7,6637,53
Oberlin College,Yes,0.58,678,50,89,0.96,19670,5820,77,10.1,16593,83
Occidental College,Yes,0.57,370,52,81,0.98,16560,5140,91,10.5,16196,79
Oglethorpe University,Yes,0.82,186,56,87,0.67,12900,4340,91,13.1,8568,67
Ohio Northern University,Yes,0.8,669,35,62,0.97,15990,4080,73,14.5,9979,83
Ohio University,No,0.75,3183,21,54,0.92,7629,4095,79,20.4,8811,64
Ohio Wesleyan University,Yes,0.78,458,36,65,0.97,16732,5650,93,12.1,12011,75
Oklahoma Baptist University,Yes,0.9,484,35,59,0.71,5390,3140,63,15.1,5511,50
Oklahoma Christian University,Yes,0.99,351,22,44,0.86,6400,3150,58,16.2,6578,45
Oklahoma State University,No,0.87,2181,29,57,0.89,5336,3344,84,15.3,6433,48
Otterbein College,Yes,0.81,428,26,57,0.64,12888,4440,62,13.9,8802,87
Ouachita Baptist University,Yes,0.85,450,31,73,0.96,6530,2800,63,13.3,6413,65
Our Lady of the Lake University,Yes,0.58,295,22,46,0.56,8530,3644,56,14.9,7114,37
Pace University,Yes,0.45,1522,37,70,0.57,11000,5160,90,13.8,10059,62
Pacific Lutheran University,Yes,0.87,504,31,68,0.9,13312,4488,78,11,9431,83
Pacific Union College,Yes,0.71,385,20,48,0.9,11925,3825,48,12.3,9157,69
Pacific University,Yes,0.9,288,41,71,0.97,14210,3994,76,10.9,11216,42
Pembroke State University,No,0.82,440,14,34,0.8,6360,2760,77,15,6443,48
Pennsylvania State Univ. Main Campus,No,0.54,3450,48,93,0.93,10645,4060,77,18.1,8992,63
Pepperdine University,Yes,0.53,680,86,96,0.8,18200,6770,95,11.6,16185,66
Peru State College,No,0.71,458,10,40,0.68,2580,2624,48,20.1,4870,44
Pfeiffer College,Yes,0.78,159,11,25,0.8,8640,3700,62,12.2,7634,48
Philadelphia Coll. of Textiles and Sci.,Yes,0.82,468,19,42,0.61,11690,5062,48,12.9,8028,68
Phillips University,Yes,0.83,174,19,50,0.88,10500,3860,58,11.6,8990,39
Piedmont College,Yes,0.85,127,20,40,0.91,5640,3620,89,13.2,7309,31
Pikeville College,Yes,0.99,169,28,48,0.89,6000,3000,48,13.4,5557,61
Pitzer College,Yes,0.56,220,37,73,0.96,17688,5900,100,10.4,14820,73
Point Loma Nazarene College,Yes,0.85,428,20,43,0.9,10178,4190,71,16.1,7895,54
Point Park College,Yes,0.85,207,7,38,0.46,9700,4830,45,14.5,7652,66
Polytechnic University,Yes,0.75,302,58,89,0.87,16200,4200,90,10.4,14329,62
Prairie View A. and M. University,No,0.93,1061,10,22,0.91,4290,3500,55,19.4,5967,35
Presbyterian College,Yes,0.77,302,34,63,0.97,11859,3635,80,13.4,8354,85
Princeton University,Yes,0.15,1153,90,98,0.97,19900,5910,91,8.4,28320,99
Providence College,Yes,0.65,973,20,55,0.73,14400,6200,66,18.4,8135,96
Purdue University at West Lafayette,No,0.86,5874,29,60,0.87,9556,3990,86,18.2,8604,67
Queens College,Yes,0.76,154,32,62,0.53,11020,4970,73,14,9315,58
Quincy University,Yes,0.69,297,22,66,0.94,10100,4140,69,16.3,6880,80
Quinnipiac College,Yes,0.58,806,17,45,0.79,12030,6140,63,12,8847,86
Radford University,No,0.86,1742,15,37,0.94,6684,4110,73,19.6,4519,62
Ramapo College of New Jersey,No,0.46,362,6,29,0.59,4449,4860,74,17.8,7333,47
Randolph-Macon College,Yes,0.75,306,21,46,0.98,13840,3735,77,10.7,11080,74
Randolph-Macon Woman's College,Yes,0.89,169,35,66,0.92,13970,6110,88,9.2,16358,68
Reed College,Yes,0.73,327,47,80,0.95,19960,5490,90,11.8,15886,68
Regis College,Yes,0.9,143,18,38,0.52,12700,5800,81,10.3,11758,84
Rensselaer Polytechnic Institute,Yes,0.83,936,53,82,1,17475,5976,94,15.4,15605,70
Rhodes College,Yes,0.8,391,58,82,0.96,15200,4768,90,10.8,13388,77
Rider University,Yes,0.68,730,16,31,0.68,13250,5420,84,12.3,11299,70
Ripon College,Yes,0.85,211,28,52,0.96,15200,4100,87,9.4,12472,64
Rivier College,Yes,0.8,141,6,28,0.33,9870,4860,59,12.2,6744,81
Roanoke College,Yes,0.8,437,27,54,0.86,13425,4425,85,13,9405,72
Rockhurst College,Yes,0.92,345,22,50,0.6,9490,4100,60,10.7,7519,79
Rocky Mountain College,Yes,0.7,270,11,31,0.86,8734,3362,56,11.3,6422,68
Roger Williams University,Yes,0.85,679,10,20,0.59,12520,6050,44,16.4,7957,61
Rollins College,Yes,0.65,382,31,55,0.61,16425,5220,81,13.3,11561,90
Rosary College,Yes,0.74,141,28,53,0.7,10950,4600,79,12.9,9264,81
Rowan College of New Jersey,No,0.37,695,21,70,0.57,4356,4830,76,22.1,7252,51
Rutgers at New Brunswick,No,0.55,4520,36,79,0.85,7410,4748,90,19.5,10474,77
Rutgers State University at Camden,No,0.52,232,27,79,0.67,7411,4748,90,18.6,10134,57
Rutgers State University at Newark,No,0.46,499,26,62,0.68,7410,4748,90,17.4,11878,58
Sacred Heart University,Yes,0.82,509,19,51,0.47,11070,5780,71,14.8,7120,82
Saint Ambrose University,Yes,0.8,276,12,48,0.78,10450,4020,56,14.1,7444,70
Saint Anselm College,Yes,0.74,514,15,40,0.95,12950,5400,70,14.5,6719,97
Saint Cloud State University,No,0.83,1921,10,34,0.84,4259,2625,70,18.9,4629,58
Saint Francis College IN,Yes,0.78,85,13,36,0.68,8670,3820,43,12.5,7440,48
Saint Francis College,Yes,0.79,284,21,45,0.73,10880,5050,64,19.3,7344,69
Saint John's University,Yes,0.86,444,18,45,0.96,12247,4081,76,12,9853,70
Saint Joseph's College IN,Yes,0.74,225,24,42,0.79,11200,4250,55,14.8,7360,67
Saint Joseph's College,Yes,0.82,217,12,33,0.25,9985,5180,53,27.2,4322,85
Saint Joseph's University,Yes,0.8,776,39,71,0.65,12750,6350,84,17.4,8243,83
Saint Joseph College,Yes,0.83,96,20,52,0.43,12200,4600,87,11.2,8680,76
Saint Louis University,Yes,0.87,956,44,67,0.8,11690,4730,84,4.6,18367,67
Saint Mary's College,Yes,0.83,393,26,60,0.98,12730,4514,74,9.9,11165,98
Saint Mary's College of Minnesota,Yes,0.92,367,14,35,0.91,10800,3600,68,18.8,5081,78
Saint Mary-of-the-Woods College,Yes,0.87,88,23,50,0.31,10300,4130,44,10.2,9678,75
Saint Michael's College,Yes,0.72,463,16,64,0.94,13030,5860,79,14.5,10190,84
Saint Olaf College,Yes,0.74,745,38,73,0.96,14350,3750,82,10,12502,83
Saint Peter's College,Yes,0.88,530,23,38,0.62,9408,5520,78,12.1,7669,53
Saint Vincent College,Yes,0.85,278,19,35,0.85,10850,3936,62,12.3,8534,88
Saint Xavier University,Yes,0.82,295,15,65,0.7,10860,4624,87,13.7,8953,55
Salem-Teikyo University,Yes,0.79,120,23,52,0.94,10575,3952,46,13,8946,98
Salem College,Yes,0.85,132,28,69,0.71,10475,6300,68,11.2,9599,60
Salisbury State University,No,0.54,736,20,52,0.81,5130,4690,73,17.9,5125,56
Samford University,Yes,0.83,691,34,76,0.88,8236,3700,74,14.7,9533,61
San Diego State University,No,0.75,2151,20,70,0.75,8384,5110,87,19.5,7930,41
Santa Clara University,Yes,0.69,888,40,73,0.97,13584,5928,88,13.9,10872,100
Sarah Lawrence College,Yes,0.56,263,57,82,0.9,19300,6694,89,6.1,14779,83
Savannah Coll. of Art and Design,Yes,0.62,386,20,65,0.9,8325,5000,14,16.1,6874,55
Schreiner College,Yes,0.71,131,19,51,0.84,8955,5900,51,11.8,8545,52
Scripps College,Yes,0.74,139,60,83,0.99,17238,7350,95,8.2,18372,73
Seattle Pacific University,Yes,0.86,411,42,82,0.73,12669,4875,83,16.8,10368,66
Seattle University,Yes,0.73,494,28,72,0.9,12825,4375,85,12.2,10175,89
Seton Hall University,Yes,0.78,1000,16,36,0.74,12000,6484,81,14.4,10080,64
Seton Hill College,Yes,0.85,197,24,56,0.78,11240,4180,71,11.2,10065,71
Shippensburg University of Penn.,No,0.56,1116,14,53,0.95,7844,3504,80,18.8,6719,72
Shorter College,Yes,0.82,165,23,70,0.91,7210,3600,62,13.2,7356,58
Siena College,Yes,0.65,628,24,68,0.81,10800,5100,71,14.1,8189,100
Siena Heights College,Yes,0.9,183,10,31,0.71,9240,3880,29,7.2,9431,47
Simmons College,Yes,0.78,295,23,53,0.88,16160,6950,74,8.9,14086,79
Simpson College,Yes,0.86,300,27,57,0.65,11250,4980,66,15.8,7411,70
Sioux Falls College,Yes,0.92,211,13,35,0.69,8990,3064,73,14.8,7881,48
Skidmore College,Yes,0.64,591,25,62,0.9,18710,5970,87,12.7,14837,81
Smith College,Yes,0.55,632,51,88,0.96,18820,6390,85,10.3,21199,90
South Dakota State University,No,0.92,1701,13,37,0.86,3811,2190,62,15,5084,67
Southeast Missouri State University,No,0.82,1408,18,43,0.84,4680,3540,75,17.1,5916,45
Southeastern Oklahoma State Univ.,No,0.86,447,20,50,0.82,3738,2619,55,19.6,4444,53
Southern California College,Yes,0.88,193,18,38,0.86,9520,4124,63,18.6,8219,43
Southern Illinois University at Edwardsville,No,0.86,994,13,40,0.7,5472,3598,76,16.5,7498,43
Southern Methodist University,Yes,0.8,1166,41,69,0.93,12772,5078,74,13.5,12726,72
Southwest Baptist University,Yes,1,642,12,32,0.65,7070,2500,52,15.9,4718,71
Southwest Missouri State University,No,0.86,3204,15,37,0.8,4740,2590,70,19.9,4632,56
Southwest State University,No,0.9,511,13,33,0.79,4285,2750,58,16.5,6591,51
Southwestern Adventist College,Yes,0.99,172,11,27,0.69,7536,3736,44,13,5309,36
Southwestern College,Yes,0.73,75,28,66,0.77,7200,3532,56,11.8,7818,52
Southwestern University,Yes,0.73,352,44,77,0.96,11850,4675,83,11.3,12995,67
Spalding University,Yes,0.71,97,10,45,0.69,8400,2800,50,10.6,6860,89
Spelman College,Yes,0.33,443,47,83,0.95,7000,5565,73,12.5,9988,65
Spring Arbor College,Yes,0.97,181,15,32,0.81,8600,3550,48,15.4,10938,49
St. Bonaventure University,Yes,0.88,375,13,45,0.93,10456,4927,91,17.7,9828,78
St. John's College,Yes,0.86,122,31,51,0.99,16150,5450,63,7.2,15622,64
St. John Fisher College,Yes,0.78,354,19,51,0.71,10570,5600,86,14.5,7908,66
St. Lawrence University,Yes,0.66,505,31,56,0.98,18720,5730,90,11.5,14980,85
St. Martin's College,Yes,0.86,63,5,25,0.46,11550,4270,43,14.5,9209,40
St. Mary's College of California,Yes,0.61,465,36,80,0.91,13332,6354,88,16.1,9619,78
St. Mary's College of Maryland,No,0.52,285,42,73,0.86,6800,4730,84,11.6,10357,63
St. Mary's University of San Antonio,Yes,0.82,414,33,60,0.84,8678,3858,82,16.2,7651,72
St. Norbert College,Yes,0.93,568,30,56,0.95,12140,4450,74,15.1,8595,88
St. Paul's College,Yes,0.89,243,8,17,0.95,5000,3650,45,14,8426,45
St. Thomas Aquinas College,Yes,0.71,215,10,27,0.58,8650,5700,69,16.1,6534,67
Stephens College,Yes,0.9,194,17,34,0.61,13900,5200,46,10.9,9995,59
Stetson University,Yes,0.79,489,37,69,0.96,12315,4565,85,12.5,10307,73
Stevens Institute of Technology,Yes,0.71,380,51,93,0.99,16900,5680,89,19,12837,79
Stockton College of New Jersey,No,0.39,710,23,65,0.85,3040,4351,78,19.5,5599,64
Stonehill College,Yes,0.63,585,25,69,0.69,12170,6172,79,13,7495,97
SUNY at Albany,No,0.68,1843,16,61,0.89,6550,4355,93,17.4,9075,74
SUNY at Binghamton,No,0.43,1757,60,94,0.93,6550,4598,83,18,8055,80
SUNY at Buffalo,No,0.64,3087,36,100,0.82,6550,4731,90,13.6,11177,56
SUNY at Stony Brook,No,0.56,1724,27,66,0.88,6550,4712,91,10.5,13705,57
SUNY College  at Brockport,No,0.49,904,7,34,0.81,6550,4460,79,19,6632,49
SUNY College  at Oswego,No,0.57,1464,17,70,0.89,6550,4810,69,22,5280,63
SUNY College at Buffalo,No,0.66,1025,8,29,0.78,6550,4040,71,18.7,7511,42
SUNY College at Cortland,No,0.45,1036,6,40,0.94,6550,4680,82,17.8,5563,53
SUNY College at Fredonia,No,0.57,814,13,48,0.93,6550,4420,82,16.3,6442,66
SUNY College at Geneseo,No,0.53,1143,56,93,0.97,6550,4170,79,19.1,5716,76
SUNY College at New Paltz,No,0.43,656,19,53,0.76,6550,4240,85,15.3,6608,53
SUNY College at Plattsburgh,No,0.65,853,9,40,0.91,6550,4176,80,17.9,6174,65
SUNY College at Potsdam,No,0.73,650,16,51,0.94,6840,4660,71,15.1,6436,59
SUNY College at Purchase,No,0.6,390,5,33,0.63,6550,4760,80,14.9,8170,46
Susquehanna University,Yes,0.72,465,27,59,0.9,16130,4710,83,13.9,10554,90
Sweet Briar College,Yes,0.87,146,36,68,0.93,14500,6000,91,6.5,18953,61
Syracuse University,Yes,0.69,2442,28,67,0.99,15150,6870,73,11.3,14231,67
Tabor College,Yes,0.71,109,19,41,0.91,7850,3410,55,10,7233,53
Talladega College,Yes,0.34,335,30,60,0.88,5666,2964,56,15.5,5970,46
Taylor University,Yes,0.62,437,41,80,0.96,10965,4000,60,14.2,8294,98
Tennessee Wesleyan College,Yes,0.78,99,7,29,0.63,7070,3640,59,8.9,6286,36
Texas A&M Univ. at College Station,No,0.73,6392,49,85,0.92,5130,3412,89,23.1,8471,69
Texas A&M University at Galveston,No,0.91,243,22,47,0.9,4860,3122,103,17.4,6415,43
Texas Christian University,Yes,0.75,1195,33,64,0.88,8490,3320,81,14.8,9158,64
Texas Lutheran College,Yes,0.85,215,27,57,0.68,7850,3410,54,13.8,7002,50
Texas Southern University,No,0.75,2604,15,85,0.64,7860,3360,65,18.2,3605,10
Texas Wesleyan University,Yes,0.85,279,19,44,0.75,6400,3484,80,14.5,7936,43
The Citadel,No,0.83,611,12,36,0.87,7070,2439,95,17.1,7744,84
Thiel College,Yes,0.82,253,15,31,0.85,11172,4958,68,11.6,9186,60
Tiffin University,Yes,0.87,254,5,21,0.65,7600,3800,59,19,5096,39
Transylvania University,Yes,0.96,244,57,81,0.94,10900,4450,81,12.1,10219,70
Trenton State College,No,0.46,944,55,94,0.85,5391,5411,81,14.4,8504,81
Tri-State University,Yes,0.87,276,14,40,0.91,9456,4350,53,12.8,7603,65
Trinity College CT,Yes,0.59,478,46,84,0.88,18810,5690,91,10.4,18034,91
Trinity College DC,Yes,0.77,100,19,49,0.33,11412,6430,89,8.3,11806,96
Trinity College VT,Yes,0.83,91,16,41,0.47,11010,5208,58,10.4,9586,78
Trinity University,Yes,0.75,601,62,93,0.96,12240,5150,94,9.6,14703,93
Tulane University,Yes,0.73,1223,47,75,0.76,19040,5950,98,9.1,16920,74
Tusculum College,Yes,0.59,145,12,34,0.96,7700,3400,70,21.9,4933,52
Tuskegee University,Yes,0.81,611,20,59,0.95,6735,3395,70,12.2,10872,65
Union College KY,Yes,0.79,177,9,45,0.89,7800,2950,60,14.1,6864,64
Union College NY,Yes,0.49,528,49,84,0.94,18732,6204,94,11.5,15411,88
Univ. of Wisconsin at OshKosh,No,0.6,1515,14,48,0.84,6874,2394,73,19.2,5901,56
University of Alabama at Birmingham,No,0.7,938,24,35,0.6,4440,5175,96,6.7,16352,33
University of Arkansas at Fayetteville,No,0.96,2133,25,65,0.87,5028,3300,73,14.8,6820,39
University of California at Berkeley,No,0.42,3215,95,100,0.9,11648,6246,93,15.8,13919,78
University of California at Irvine,No,0.69,2478,85,100,0.94,12024,5302,96,16.1,15934,66
University of Central Florida,No,0.42,1918,25,60,0.63,6618,4234,80,22.2,6742,46
University of Charleston,Yes,0.78,204,22,43,0.56,9500,3540,26,2.5,7683,57
University of Chicago,Yes,0.47,922,68,94,0.99,18930,6380,99,5.3,36854,90
University of Cincinnati,No,0.81,2408,26,57,0.85,8907,4697,89,10.8,13889,54
University of Connecticut at Storrs,No,0.74,2064,23,63,0.88,11656,5072,89,16,10178,71
University of Dallas,Yes,0.86,246,44,74,0.94,10760,6230,85,13.4,8731,63
University of Dayton,Yes,0.83,1507,26,51,0.9,11380,4220,81,14.8,8894,93
University of Delaware,Yes,0.73,3252,22,57,0.76,10220,4230,82,18.3,10650,75
University of Denver,Yes,0.67,580,29,60,0.83,15192,4695,84,15.9,11762,67
University of Detroit Mercy,Yes,0.79,415,24,50,0.49,11130,3996,72,13.5,10891,51
University of Dubuque,Yes,0.97,137,11,39,0.83,10430,3620,85,16.5,8767,45
University of Evansville,Yes,0.78,694,35,67,0.86,11800,4340,60,15.8,7780,77
University of Florida,No,0.71,3623,54,85,0.88,7090,4180,88,13.4,14737,66
University of Georgia,No,0.7,3320,43,79,0.88,5697,3600,88,14.7,7881,63
University of Hartford,Yes,0.8,1194,11,26,0.73,14220,6000,61,10.7,10625,66
University of Hawaii at Manoa,No,0.73,1627,36,69,0.82,4460,3038,85,11.8,12833,54
University of Illinois - Urbana,No,0.78,5705,52,88,0.97,7560,4574,87,17.4,8559,81
University of Illinois at Chicago,No,0.68,2710,22,50,0.82,7230,5088,82,10,13883,34
University of Indianapolis,Yes,0.86,388,26,51,0.46,11120,4080,55,11.1,6735,69
University of Kansas,No,0.65,3681,25,50,0.91,6994,3384,88,13.7,9657,57
University of La Verne,Yes,0.61,226,16,38,0.48,13540,5050,66,14.1,10139,47
University of Louisville,No,0.64,1823,16,33,0.61,6540,3600,84,11.1,10207,31
University of Maine at Farmington,No,0.66,438,20,48,0.85,6810,3970,67,15.9,5712,59
University of Maine at Machias,No,0.84,172,17,45,0.67,6600,3680,46,15.1,5935,64
University of Maine at Presque Isle,No,0.83,235,10,40,0.66,6600,3630,67,15.2,6408,35
University of Maryland at Baltimore County,No,0.61,985,27,57,0.71,8594,4408,82,18.4,7618,55
University of Maryland at College Park,No,0.72,3409,22,53,0.83,8723,5146,89,18.1,9021,63
University of Massachusetts at Amherst,No,0.86,3816,12,39,0.89,8566,3897,88,16.7,10276,68
University of Massachusetts at Dartmouth,No,0.78,1006,10,37,0.74,6919,4500,74,15,7462,56
University of Miami,Yes,0.76,1643,42,69,0.9,16500,6526,82,5.9,17500,59
University of Michigan at Ann Arbor,No,0.68,4893,66,92,0.94,15732,4659,90,11.5,14847,87
University of Minnesota at Duluth,No,0.75,1656,15,45,0.82,8828,3474,79,19,6393,53
University of Minnesota at Morris,No,0.6,588,56,86,0.92,9843,3180,74,14.6,6716,51
University of Minnesota Twin Cities,No,0.58,3524,26,55,0.43,8949,3744,88,12.2,16122,45
University of Mississippi,No,0.88,1669,26,47,0.9,4916,3810,81,20.3,6971,53
University of Missouri at Columbia,No,0.71,2940,32,62,0.9,9057,3485,87,12.7,10145,58
University of Missouri at Rolla,No,0.97,823,49,77,0.87,9057,3600,88,14.4,9699,49
University of Missouri at Saint Louis,No,0.71,479,18,54,0.51,7246,3964,71,13.4,6433,48
University of Mobile,Yes,0.73,269,17,54,0.82,6150,3680,59,16.6,5412,52
University of Montevallo,No,0.66,570,18,78,0.88,4440,3030,72,18.9,5883,51
University of Nebraska at Lincoln,No,0.96,3526,33,63,0.84,5595,3145,86,15.1,6813,53
